id,y,quartos,area,custo,vagas,mobiliado,bairro,endereco,latitude,longitude,estacao,distancia,linha_amarela,linha_azul,linha_lilas,linha_prata,linha_verde,linha_vermelha,update_time,apartment_link
893343910,0,3,115,3525,2,0,Vila Formosa,Avenida Cipriano Rodrigues,-23.574806,-46.5299016,Sao Lucas,2.17,0,0,0,1,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893343910
893273987,0,2,68,1986,2,0,Vila Formosa,Rua Correia de Lacerda,-23.5734834,-46.5238629,Sao Lucas,2.72,0,0,0,1,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893273987
893405021,0,2,47,1509,1,0,Vila Formosa,Rua Bactória,-23.5751017,-46.522693,Sao Lucas,2.71,0,0,0,1,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893405021
893430226,0,2,56,1540,1,0,Artur Alvim,Avenida Waldemar Tietz,-23.5498823,-46.4825157,Artur Alvim,1.09,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893430226
893358811,0,2,56,1151,1,0,Artur Alvim,Rua Padre Gabriel de Campos,-23.5482722,-46.4866291,Artur Alvim,0.91,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893358811
893377853,0,2,39,1101,0,0,Artur Alvim,Rua Auguste Laurent,-23.5303495,-46.480828,Artur Alvim,1.17,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893377853
893377842,0,2,39,1101,0,0,Artur Alvim,Rua Auguste Laurent,-23.5303495,-46.480828,Artur Alvim,1.17,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893377842
893169028,0,1,30,1736,0,0,Artur Alvim,Rua Afonso Pôrto,-23.5366281,-46.4893138,Artur Alvim,0.62,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893169028
893332776,0,2,56,1769,1,0,Artur Alvim,Rua Padre Estevão de Oliveira,-23.5479039,-46.4839558,Artur Alvim,0.85,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893332776
893425142,0,1,50,1034,0,0,Artur Alvim,Rua Galileu Menon,-23.5380975,-46.4878363,Artur Alvim,0.4,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893425142
893358974,0,3,50,1235,1,0,Artur Alvim,Rua Padre José Viêira de Matos,-23.5436797,-46.4805219,Artur Alvim,0.57,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893358974
893455934,0,2,37,1242,0,0,Artur Alvim,Rua Miguel Arcanjo de Oliveira,-23.5381742,-46.4848524,Artur Alvim,0.23,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455934
893455937,0,2,37,1242,0,0,Artur Alvim,Rua Miguel Arcanjo de Oliveira,-23.5381742,-46.4848524,Artur Alvim,0.23,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455937
893455936,0,2,39,1242,0,0,Artur Alvim,Rua Miguel Arcanjo de Oliveira,-23.5381742,-46.4848524,Artur Alvim,0.23,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455936
893455921,0,2,39,1242,0,0,Artur Alvim,Rua Miguel Arcanjo de Oliveira,-23.5381742,-46.4848524,Artur Alvim,0.23,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455921
893294866,0,2,48,1305,1,0,Artur Alvim,Rua Padre Gabriel de Campos,-23.5475647,-46.4862136,Artur Alvim,0.83,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893294866
893305996,0,1,37,1382,0,0,Artur Alvim,Rua Nelson Tartuce,-23.5379801,-46.4831785,Artur Alvim,0.3,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893305996
893458229,0,2,48,1215,1,0,Artur Alvim,Avenida Padre Estanislau de Campos,-23.5463153,-46.4813382,Artur Alvim,0.76,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893458229
893455933,0,2,37,1242,0,0,Artur Alvim,Rua Miguel Arcanjo de Oliveira,-23.5381742,-46.4848524,Artur Alvim,0.23,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893455933
